Key,Value
Do Not Translate the left text it's the identifier of the text,You can translate this
menu.button.play,New game
menu.button.load,Load
menu.button.settings,Settings
menu.button.quit,Quit
menu.load.delete.info,Do you really want to delete this save?
menu.load.delete.confirmButton,Delete
menu.load.delete.cancelButton,Cancel
game.inventory,Inventory
game.inventory.gears,Gears
game.inventory.bag,Bag
game.inventory.ammoBag,Ammo bag
game.inventory.ammo,Ammo
game.building,Building
game.map,Map
game.research,Research
game.craftMachine.changeRecipe,Recipes available
game.craftMachine.changeRecipe.button,Change recipe
game.craftMachine.recipeLock,This recipe must be research.
game.craftMachine.missingQuantity,(Insufficient quantities)
game.research.noAccess,Use a research station to start a research.
game.research.noCurrent,No current research
game.research.status,Status: 
game.research.status.none,No current research, please select a research to process.
game.research.status.missingData,Insufficient data, more data required.
game.research.status.processing,Processing
game.research.status.finished,Research finished, please select another research to process.
game.research.processingPower,Processing Power: {0}
game.research.desc.buildingUnlock,Unlock a new blueprint
game.research.desc.treeUnlock,Find a new tree species
game.research.MineralData,Mineral data
game.research.OrganicData,Organic data
game.research.desc.MineralData,Mineral analysis results
game.research.desc.OrganicData,Organic analysis results
game.research.ToolAoE,Tool: Area of effect
game.research.desc.ToolAoE,Increase tools area of effect.
game.research.ToolEfficiency,Tool: efficiency
game.research.desc.ToolEfficiency,Increase tools efficiency.
game.research.DismantlingContainer,Container dismantling
game.research.DismantlingVehicle,Vehicle dismantling
game.research.DismantlingVehicleArmored,Armored vehicle dismantling
game.research.DismantlingWall,Reinforced concrete dismantling
game.research.DismantlingRadioactiveWaste,Radioactive waste collection
game.research.desc.dismantling,Dismantling technique
game.item.aluminumJunk,Junk aluminum
game.item.batteryJunk,Junk battery
game.item.copperJunk,Junk copper
game.item.electronicJunk,Junk electronic
game.item.fabricJunk,Junk fabric
game.item.glassJunk,Junk glass
game.item.ironJunk,Junk iron
game.item.organicJunk,Junk organic
game.item.plasticJunk,Junk plastic
game.item.steelJunk,Junk steel
game.item.stoneJunk,Junk stone
game.item.tireJunk,Tire
game.item.woodJunk,Junk wood
game.item.JunkRadioactive,Radioactive waste
game.item.desc.junk,One man's trash is another's treasure!
game.item.trashBag,Trash bag
game.item.crate,Crate
game.item.desc.trashBag,Whoo it's a loot box!
game.item.desc.crate,Whoo it's a loot box!
game.recipe.openTrashBag,Open trash bag
game.recipe.openCrate,Open crate
game.item.aluminumCrushed,Crushed aluminum
game.item.copperCrushed,Crushed copper
game.item.fabricCrushed,Crushed fabric
game.item.glassCrushed,Crushed glass
game.item.ironCrushed,Crushed iron
game.item.organicCrushed,Crushed organic
game.item.plasticCrushed,Crushed plastic
game.item.steelCrushed,Crushed steel
game.item.stoneCrushed,Crushed stone
game.item.tireCrushed,Crushed Tire
game.item.woodCrushed,Crushed wood
game.item.desc.crushed,Ready for recycling.
game.item.desc.organicCrushed,To put in a composter.
game.item.acidBarrel,Acid barrel
game.item.acidBucket,Acid bucket
game.item.aluminum,Aluminum
game.item.barrelPlastic,Plastic barrel
game.item.barrelSteel,Steel barrel
game.item.battery,Battery
game.item.bucket,Bucket
game.item.copper,Copper
game.item.explosive,Explosive
game.item.electronicCard,Electronic card
game.item.electronicComponant,Electronic component
game.item.electronicPrintedCircuit,Printed circuit board
game.item.fabric,Fabric
game.item.fertilizerT1,Fertilizer
game.item.fertilizerT2,Fertilizer T2
game.item.fertilizerT3,Fertilizer T3
game.item.glass,Glass
game.item.iron,Iron
game.item.lithium,Lithium
game.item.oilBarrel,Oil barrel
game.item.oilBucket,Oil bucket
game.item.plastic,Plastic
game.item.steel,Steel
game.item.steelReinforced,Reinforced steel
game.item.stone,Stone
game.item.rubber,Rubber
game.item.waterBarrel,Water barrel
game.item.waterBucket,Water bucket
game.item.wood,Wood
game.item.desc.acidBarrel,Ready for craft.
game.item.desc.acidBucket,Ready for craft.
game.item.desc.aluminum,A pure block of aluminum. Ready for craft.
game.item.desc.barrelPlastic,Ready for craft.
game.item.desc.barrelSteel,Ready for craft.
game.item.desc.battery,Ready for craft.
game.item.desc.bucket,An empty bucket.
game.item.desc.copper,A pure block of copper. Ready for craft.
game.item.desc.explosive,CAUTION Handle with care!
game.item.desc.electronicCard,Ready for craft.
game.item.desc.electronicComponant,Ready to be welded.
game.item.desc.electronicPrintedCircuit,Ready to be welded.
game.item.desc.fabric,Pile of fabric. Ready for craft.
game.item.desc.fertilizer,Use it to fasten the growth of a plant a planter or to heal the ground.
game.item.desc.glass,A pure block of glass. Ready for craft.
game.item.desc.iron,A pure block of iron. Ready for craft.
game.item.desc.lithium,A pure block of lithium. Ready for craft.
game.item.desc.oilBarrel,Ready for craft.
game.item.desc.oilBucket,Ready for craft.
game.item.desc.plastic,A pure block of plastic. Ready for craft.
game.item.desc.rubber,A pure block of rubber. Ready for craft.
game.item.desc.steel,A pure block of steel. Ready for craft.
game.item.desc.steelReinforced,Reinforced steel bar. Ready for craft.
game.item.desc.stone,A stone. Ready for craft.
