Key,Value
Do Not Translate the left text it's the text identifier.,You can translate this
menu.button.play,Nouvelle partie
menu.button.load,Charger
menu.button.settings,Options
menu.button.quit,Quitter
menu.load.delete.info,Êtes-vous sûr de vouloir supprimer cette sauvegarde?
menu.load.delete.confirmButton,Supprimer
menu.load.delete.cancelButton,Annuler
game.inventory,Inventaire
game.inventory.gears,Equipements
game.inventory.bag,Sac
game.inventory.ammoBag,Sac de munitions
game.inventory.ammo,Munitions
game.building,Construction
game.map,Carte
game.research,Recherche
game.craftMachine.changeRecipe,Recettes disponibles
game.craftMachine.changeRecipe.button,Changer de recette
game.craftMachine.recipeLock,Une recherche est nécessaire pour débloquer cette recette.
game.craftMachine.missingQuantity,(Quantité insuffisante)
game.research.noAccess,Accéder à une station de recherche pour débuter une recherche.
game.research.noCurrent,Pas de recherche en cours
game.research.status,Statut: 
game.research.status.none,Aucune recherche en cours, sélectionner une recherche pour commencer.
game.research.status.missingData,Données insuffisantes, plus de données requises.
game.research.status.processing,Traitement en cours.
game.research.status.finished,Recherche terminée, sélectionner une nouvelle recherche.
game.research.processingPower,Puissance de calcul: {0}
game.research.desc.buildingUnlock,Débloque un nouveau plan
game.research.desc.treeUnlock,Débloque une espèce d'arbre
game.research.MineralData,Données minérales
game.research.OrganicData,Données organiques
game.research.desc.MineralData,Résultats d'analyse minérale
game.research.desc.OrganicData,Résultats d'analyse organique
game.research.ToolAoE,Outils: Zone d'effet
game.research.desc.ToolAoE,Augmentation de la zone d'effet des outils.
game.research.ToolEfficiency,Outils: efficacité
game.research.desc.ToolEfficiency,Augmentation de l'efficacité des outils.
game.research.DismantlingContainer,Démontage de container
game.research.DismantlingVehicle,Démontage de véhicule
game.research.DismantlingVehicleArmored,Démontage de véhicule blindé
game.research.DismantlingWall,Démontage de béton armé
game.research.DismantlingRadioactiveWaste,Ramassage de déchet radioactif
game.research.desc.dismantling,Technique de démontage
game.item.aluminumJunk,Déchet d'aluminium
game.item.batteryJunk,Batterie endommagée
game.item.copperJunk,Déchet de cuivre
game.item.electronicJunk,Déchet électronique
game.item.fabricJunk,Déchet de tissu
game.item.glassJunk,Déchet de verre
game.item.ironJunk,Déchet de fer
game.item.organicJunk,Déchet organique
game.item.plasticJunk,Déchet plastique
game.item.steelJunk,Déchet d'acier
game.item.stoneJunk,Déchet de pierre
game.item.tireJunk,Pneu
game.item.woodJunk,Déchet de bois
game.item.JunkRadioactive,Déchet radioactif
game.item.desc.junk,Des déchets pour les uns, des trésors pour les autres!
game.item.trashBag,Sac poubelle
game.item.crate,Caisse
game.item.desc.trashBag,C'est une loot box!!
game.item.desc.crate,C'est une loot box!!
game.recipe.openTrashBag,Ouvrir un sac poubelle
game.recipe.openCrate,Ouvrir une caisse
game.item.aluminumCrushed,Aluminium broyé
game.item.copperCrushed,Cuivre broyé
game.item.fabricCrushed,Tissu broyé
game.item.glassCrushed,Verre broyé
game.item.ironCrushed,Fer broyé
game.item.organicCrushed,Matière organique broyée
game.item.plasticCrushed,Plastique broyé
game.item.steelCrushed,Acier broyé
game.item.stoneCrushed,Pierre broyée
game.item.tireCrushed,Pneu broyé
game.item.woodCrushed,Bois broyé
game.item.desc.crushed,Prêt à être recyclé.
game.item.desc.organicCrushed,A mettre dans un composteur.
game.item.acidBarrel,Baril d'acide
game.item.acidBucket,Seau d'acide
game.item.aluminum,Aluminium
game.item.barrelPlastic,Baril en plastique
game.item.barrelSteel,Baril en acier
game.item.battery,Batterie
game.item.bucket,Seau
game.item.copper,Cuivre
game.item.explosive,Explosif
game.item.electronicCard,Carte électronique
game.item.electronicComponant,Composant électronique
game.item.electronicPrintedCircuit,Circuit imprimé
game.item.fabric,Tissu
game.item.fertilizerT1,Engrais
game.item.fertilizerT2,Engrais T2
game.item.fertilizerT3,Engrais T3
game.item.glass,Verre
game.item.iron,Fer
game.item.lithium,Lithium
game.item.oilBarrel,Baril d'huile
game.item.oilBucket,Seau d'huile
game.item.plastic,Plastique
game.item.steel,Acier
game.item.steelReinforced,Acier renforcé
game.item.stone,Pierre
game.item.rubber,Caoutchouc
game.item.waterBarrel,Baril d'eau
game.item.waterBucket,Seau d'eau
game.item.wood,Bois
game.item.desc.acidBarrel,Un baril d'acide
game.item.desc.acidBucket,Un seau d'acide
game.item.desc.aluminum,Un bloc d'aluminum. Prêt à l'utilisation.
game.item.desc.barrelPlastic,Prêt à l'utilisation.
game.item.desc.barrelSteel,Prêt à l'utilisation.
game.item.desc.battery,Une batterie. Prêt à l'utilisation.
game.item.desc.bucket,Un seau vide.
game.item.desc.copper,Un bloc de cuivre. Prêt à l'utilisation.
game.item.desc.explosive,A manipuler avec précaution.
game.item.desc.electronicCard,
game.item.desc.electronicComponant,
game.item.desc.electronicPrintedCircuit,
game.item.desc.fabric,Un tas de tissus. Prêt à l'utilisation.
game.item.desc.fertilizer,Permet d'aider une plante à grandir ou fertiliser le sol.
game.item.desc.glass,Un bloc de verre. Prêt à l'utilisation.
game.item.desc.iron,Un bloc de fer. Prêt à l'utilisation.
game.item.desc.lithium,Un bloc de lithium. Prêt à l'utilisation.
game.item.desc.oilBarrel,Un baril d'huile. Prêt à l'utilisation.
game.item.desc.oilBucket,Un seau d'huile. Prêt à l'utilisation.
game.item.desc.plastic,Un bloc de plastique. Prêt à l'utilisation.
game.item.desc.rubber,Un bloc de caoutchouc. Prêt à l'utilisation.
game.item.desc.steel,Un bloc d'acier. Prêt à l'utilisation.
game.item.desc.steelReinforced,Une barre d'acier renforcé
game.item.desc.stone,Une pierre. Prêt à l'utilisation.
game.item.desc.waterBarrel,Un baril d'eau. Prêt à l'utilisation.
game.item.desc.waterBucket,Un seau d'eau. Prêt à l'utilisation.
game.item.desc.basicResource,Ressource prête à l'utilisation.
game.item.desc.wood,Une pièce de bois. Prêt à l'utilisation.
game.item.BombT1,Bombe T1
game.item.BombT2,Bombe T2
game.item.EarthQuakeBombT2,Bombe minérale
game.item.desc.bomb,Restez à distance
game.item.AmmoBagT1,Sac de munitions
game.item.BagT1,Sac T1
game.item.BagT2,Sac T2
game.item.scanerProbe,Drône d'exploration
game.item.desc.AmmoBagT1,Ajoute un emplacement de munition
game.item.desc.BagT1,Ajoute 10 emplacements d'inventaire
game.item.desc.BagT2,Ajoute 20 emplacements d'inventaire
game.item.desc.scanerProbe,Scanne la carte
game.item.pickaxeT0,Pioche de fortune
game.item.pickaxeT1,Pioche basique
